Column1,Column2
"I verified my realm account many years ago on discord and recently started playing the game again. This is a new discord, so I need to be removed from the verified list because I don't remember the login for my old discord account. My account name is TonyTop, no idea what the old discord UN is.","Hi, please reach out to any online Security for help with your account transferral!"
Mod mail,This is modmail how can we help you?
The first one works (#raiding-rules) but unfortunately the second one is still no access 😦,Oh! It's the raiding rules for the veteran's section :> You'll be able to see it when you get the veteran raider role.
`A full list of rules can be found in ⁠⁠No Access or ⁠⁠No Access` these rules sure are hard to read 😄,Hello! The links are here https://discord.com/channels/343704644712923138/379504881213374475 and here https://discord.com/channels/343704644712923138/556934789953749002 :>
Hi. I used a boost to get into channel but I guess run was bugged/full. Wondering if I could get it back.,"Hello! Your boost has been returned to you, sorry you encountered that bot issue"
what did i get blacklisted for,"Hey there, please reach out to *Celoso <@213849524890894336> regarding this."
"My friend previously had my ign but I'm now using it on my account but hes still verified under the ign, can it be sorted out?","Hey there, feel free to reach out to any online security for assistance."
"hi, I was verified years ago on a different discord account, I guess. Can you remove the verification for the realm account ""Gajiman' so i can reverify with this discord?",hey someone will dm you in a second :))
how do i change my name in the discords if  i changed in game,"hello! If your realmeye name history is public and updated, you can just type `;cn yourNewIGN` in here: https://discord.com/channels/343704644712923138/347885015964712970. If that doesn't work, feel free to drop any security a message and we'll be happy to help :>"
Feed back for Mobbstrf or Modmail no idea whats what but ill say they need more calls. was lost at the beggining of the run. people went to ways and i was so confused at first.,"Hi, thanks for the feedback. I'll notify the HRLs of this. If you have any other information, videos, etc. about the run please send them in."
not in rotmg,Kk
Is any sort of punishment going to be applied?,We cannot disclose staff punishments publicly
"I only managed to snip a clip of this instance of him saying it once, but you can clearly understand by the other rl in the vc that this wasnt only said once. Also proof of rls in the vc having to intervene to keep him on track...","Thank you for the proof, we will take care of things accordingly"
"Hello, I would like to file a complaint on one of your rls @pipsi48 (603294790209241108). The rl is very immature, super unexperienced and other rls in the voice call always have to take over. He reads chat without censoring anything, I have a clip of him repeating the n word from chat 3-4 times, fellow raiders can defend my statement. He also cannot focus on his calls. In my opinion there should be a minimum age requirement with very few exceptions. Also I am guilty for my suspension, this has nothing to do with it, just giving my opinion on the rl.",Hi it's <@169516346198065153> Adrizomble talking feel free to forward the video clips for us to get proof and take action with this crucial topic.
"pipsi said "" im going to touch you little ni**er""","Hello, if you could provide proof of this happening that would be great."
"Pipsi is commiting many mistakes, but overall, runs with him are pretty much fun","Hey there, thanks for reaching out. Glad you had fun in the run even though the RL made some mistakes. We hope to see him improve as he does more runs. I'll pass this information onto the HRLs, have a nice day!"
"Hi, I was put on a timeout from the discord because of turning up to an ""Exalted"" Void while being ""Under Reqs"" My kit at that void was a lumi, fulmi , t14 robe , t4 hp ring , I was 6/8 to be fair missing health and mana, by only a couple pots, I think its quite unfair to keep me on timeout from the whole discord for that because genuinely I did not know the run was exalted I wasnt paying much attention cause there were like 3 void runs going on at the same time which is honestly my mistake, I tried resolving this with the security that issued my timeout but came to quite the unsatisfactory conclusion so I figured it was best to consult modmail about this.",Despite the strong gear you were wearing we always need all the minimum requirements to be met for each run. It looks like the Security issued a warning that is in accordance with our guidelines and rules. If you wish to further discuss the suspension or how the Security handled the situation you can message the Officer <@371489458027233280> `ems`.
second time this happened this week,"Hi classymeow, same person as responding as last time. Incredibly sorry this happened again. If you’d like to discuss this more for any reason feel free to DM me -Grizzell"
there u can see the message,"Please refrain from using slurs in the future, they are not tolerated here. That being said, your suspension will be reduced to a day instead."
"i would like to make a complaint about the security staff carrotine calling me immature, grow up and cant giv a straight answer for my suspension and just ignore me now because there is a rule i want to be adressed","Hello, it is very unfortunate that caro wasn't able to address your suspension. Your suspension was due to the fact that you DM'ed the RL a slur, and that is not welcome in our community. Your suspension will end in two days."
"Hi I would like to verify my new discord account because I can’t get into my old one. My ign is still linked to the old one, so can someone please help me?",Hello! A security will reach out to you in a bit :>
"hello i recently purchased a name change changing my name from Uuuthreex to thanatophobia, i would like my name updated in the lost halls server so i could continue raiding","hello! If your realmeye name history is public and updated, you can just type `;cn yourNewIGN` in here: https://discord.com/channels/343704644712923138/347885015964712970. If that doesn't work, feel free to drop any security a message and we'll be happy to help :>"
MF I WAS REQS WHAT THE FUCK,"Hello! The run appears to have been an exalted void, and you received a warning because the security found that you were not 8/8. If you have any other questions, please reach out to <@270310177385742347> Jackswift as he was the one that issued the warning."
"Hi, I was put on a timeout from the discord because of turning up to an ""Exalted"" Void while being ""Under Reqs"" My kit at that void was a lumi, fulmi , t14 robe , t4 hp ring , I was 6/8 to be fair missing health and mana, by only a couple pots, I think its quite unfair to keep me on timeout from the whole discord for that because genuinely I did not know the run was exalted I wasnt paying much attention cause there were like 3 void runs going on at the same time which is honestly my mistake, I tried resolving this with the security that issued my timeout but came to quite the unsatisfactory conclusion so I figured it was best to consult modmail about this.","Hello! Thank you for reaching out. We understand your frustration, but the reqs are clearly listed in <#379504881213374475>, and this is your second infraction this week. Your suspension will end in two days. If you have any other question in the meantime, do feel free to contact us again."
Thank you very much.,"Don't worry there are currently multiple votes to remove him from staff and hopefully ban him from all raiding servers, this transgression may be the proof we need to act now. The world will not stand for Grizzell's transgressions."
Oh boy I sure hope this message goes into #mod-mail-review or I may begin to cry,Nice job developer o7
"Mod mail, lost old discord account",Hello! A security will reach out to you in a moment :>
just wondering how i can get the rusher role 🙂,Only an RL+ can grant this role. If rush three pots and the hideout in a Cult it can be given.
"the rl  walllnator was making rasict jokes and unmuting other people for them to make the same type of jokes and instead of telling us to clear a 4 realm he askes everyone to guess his favorite color and foods, which made a the clearing longer than it shouldve also when people told him to start calling he stays quiet and says this is the longest and worst run when hes the one who made it like that","Hi there, thanks for reaching out! We're sorry to hear you had this bad experience with one of our RLs. If you could provide as much information as possible about the incident like screenshots or recordings, this would help us take the appropriate action. I will pass this onto the HRLs who will take it from here. Hope you have a better day from here on out."
"Guys, mrsauron is such a good security",debatable.
u would like to mod mail,Hi there! Thanks for reaching out. What is it you would like to mod mail us about?
"Just got kicked as an 8/8 met reqs sorc crucible from the recent LH Blib's Exa. void run, whoever was key was just kickign a bunch of people","Sorc needs 3 points, your set has 1. The reqs sheet is posted for every hc and afk check and is pinned in <#379779029479194624>"
Ty anyways love u boys,No worries! Thanks for bringing it to our attention!
"And just for full clarity, i sent him a message after (just now) asking why he was so mad at me. Appearantly he saw ALL my modmails, which means someone is leaking 🤔 https://prnt.sc/GOOUvMSknl9d","Hi, as im sure your aware xbino is no longer staff with us so there isnt much we can do, I’d recommend ignoring him in game, however in saying that ill be sure to inform the hrls of his recent actions."
"i've been trying to fucking do the shit but i thought the graveyard was public by default and thought this bot was bugging but i was the one bugging bruh, its public now but i cant start another one","It's all done now, gl"
i want to get unbanned from lost halls to join oryx,Hello! A security will reach out to you in a moment :>
"(raid leaders were fun, don't know the ""modmail rules"" and hope this doesn't count as spam because it was *technically* a different RL and the runs were relatively upbeat anyway so I assumed this would be fine)",We're so happy you enjoyed the First Raid Leading™ ever done by Raid Leader™ Jackswift™! Much thanks for the positive feedback and we hope you continue to have fun runs with him :>
"(On a serious note, you kept what would have been an incredibly boring grueling 30+ MTs really fun thanks for that)","We're so happy you enjoyed his run! n thank you for letting us know, we'll be sure to send this to the HRLs :>"
"TBH this harrassment from xbino/ches has been going on for weeks, and isn't limited to me, but everyone in Death Poets (Also 1 off situation with Kanoin)",Thank you for letting us know. I am sincerely sorry about xbino messaging you as he is no longer staff here and should not have known that you ever modmailed about it. Please trust that this is being dealt with.
https://prnt.sc/aAj7P_m0crFb,Thank you for this screenshot. Had you communicated with him first or did he DM you in game out of nowhere?
Ticket used game crashed,"Hi, we are sorry that you had this experience within our runs. Due to the  server DC we have decided to refund you the tickets used for your first run. Unfortunately we are unable to give you the tickets back for the second run. Hope you have a good night!"
"Utlimaterd held vc open a while, we were 51/45 and he dragged 2 crashers who asked for a drag, 3 people def didnt make it",Okay thank you. I will ask him to not drag over cap in the future and such. I might dm you or one of the other rls in the run in a bit but ty for letting us know <3
i get kicked out a lost halls because i use my t0 star to save mana at survivor phase on mbc ._.,"Sorry that you had this negative experience with Lost Halls, and agree with you being able to use t0 star for speedy. For future reference, if there is a security in your run and you plan on using a t0 star for speed try to /tell them the inform."
Never read any of his books despite them being classics nor did I ever do any research on him so I have nothing to really say about him or about his books,Feel free to message bantering and discuss the importance of Mark Twain and burgers.
Made a new discord account reset MrChavez,the old discord was kicked from the server. You can now attempt to verify as usual!
what do i d,hey! i will be sending you a dm to help you
"thank you, caro. also big thanks to ratchet for leading the last 03 with some problems with raider and rl. :/","gasp, STALKER??? but no fr haha thank you for the feedback"
Whats the point to call for a raid in raid status if you are doing private runs?,"Thanks for bringing that to our attention! We'll look into it, thank you :>"
"Please do, I am worried that there's a trend of harrassing RLs lately. First was someone telling Bino to kill himself, then the Kuvu harrassment, and now this. Raid leaders are human too, they deserve to be treated kindly at the very least.","it’s really sweet of you to be concerned about their wellbeing :> we’ll be sure to check in with them as well, thank u again!!"
"more harrassment going on. People being very rude to DragansMum causing him to have to have someone else take over because this guy's ""jokes"" messed him up.",thank you for letting us know! we’ll be sure to reach out to him to get more information :>
"Hello. I would like to put a complaint in on Marshall. I have already DMd pots about most of this but I just want to mail it as well to make everyone aware cause I’m not sure if he is bringing it to higher-ups. I’ll provide a few screenshots here and I will be blacking out the names Cause I don’t wanna throw anyone under the bus, none of the screenshots were leaks from pub halls. These are all DM‘s and or messages from other servers the whole issue with Jung and Marshall in my spooky halls void, me telling Jung what actually happened and him messaging see I think Marshall is clearly aware that I told jung what really happened and he is now witch hunting me in attempts to prevent me from leading in any other server and he is already done so in max eff and I am being told that he’s doing it elsewhere as well.","Hi Bino, it's Sea, I'll DM you^^"
"Anecnoj was a great rl, got me through my first ever void (and i got my first ever white from mbc) give this man all the bread he a king fr fr","congrats on the void complete!! n thank you for letting us know, we'll forward this to the hrls :>"
Cometss is W rl good calls and good runs everytime i did em (ignore other modmail i didnt do anything just put Cometss),"Hey thanks for letting us know, is there anything in particular you enjoyed about his runs? We’ll pass this along thanks."
he's pretty solid on his calls for both MBC and Void and he has good interactions with his raiders,"yay! ty, we'll be sure to let the HRLs know :>"
Hey I was denied and it said to send here if its not accepting me,Hello! Please reach out to any security and they'll be able to help :>
this name is logged into my old account i no longer have,"Hello, reach out to any online security and they will be able to assist you."
"hai i was an arl 1-2 months ago and i stepped down due to busy with getting into college, now i have enough time to play again so i would like to know if i can come back (i was told i can come back within 3 months)","If you were told you could come back within 3 months, feel free to dm any online hrls so they can help you out about getting back"
whats online security,Any user with the `Security` role is what you’re looking for. These users also normally have an * as the prefix in front of their name. Their name is dark blue on the side member list.
"Hello, i lost my previous discord account, please verify me with my new discord account","Hi, please message any online Security for help with your account transferral."
"Jackswift, Drakeno and eso gave me a very interesting lecture about pirate caves and it gave me a white bag 🙂","Hi, thanks for taking the time to reach out! I'm glad to hear that you had this positive experience with our staff members and will be sure to pass this message onto the HRLs. Have a nice day :)!"
eso and Jackswift,Thanks for providing the extra information. Have a nice day!
"Drakeno run fun as fuck, unlike WiId (super boring)","Hi, thanks for taking the time to reach out! I'm glad to hear that you had this positive experience with one of our raid leaders and will be sure to pass this message onto the HRLs. Have a nice day :)!"
"Drakeno missed fungal 75% call, 3 people muted from him and a few others talking way too much about god know's what. Loud obnoxious laughing doesn't help either.","Hi, thanks for taking the time to reach out! I'm sorry that you had this experience with one of our raid leaders and will be sure to pass this message onto the HRLs. If you don't mind, could you also let us know who were the other staff members who were chatting during the run? This will allow us to take the appriopriate action."
i posted proof but dont think bot takes screenshots. i talked over the situation with KingAzamoth. Seems like it was a mistake but slightly annoying since there were no better locs at the time and was there by myself for 10+ mins clearing,"Appreciate the extra information. We received your screenshot, not to worry. This has been forwarded to the HRLs who will handle the situation to make sure it doesn't happen again. Thanks once again for reaching out and have a nice day :)."
please check if loc is taken first before blindly trusting raiders,"Hi, thanks for reaching out! Do you mind providing more information as to what happened? I assume this loc was taken by one of our own raid leaders. If you could let us know when this was and by which raid leader or any additional information, this would help us understand the issue."
idk what account its under,"Hi, please dm any online Security for help with your account transferal!"
he himself seems concerned.. pretty definitive proof haha but do what ya'll feel is right. Much love thanks for runnin the server for so long guys.,Thank you for informing us :> and I'd just like to let you know that I'll be putting a note on his account so we can monitor if we get more reports of him harassing other raiders as well. I hope your next raids are more pleasant & thanks again!
"Hi there, currently in an o3 raid and have one of the raiders being pretty racist to me in pms. Screenshotted it. Yall do sumn bout that or nah...? I aint even provoke it was hella random lol","Hello! We're really sorry that you experienced that in our raids. As it is an exchange between you and that raider privately, we would rather not interfere. I hope that you guys will be able to sort it out, and if that doesn't help, please do consider using /ignore!"
Nacnudd won’t send me nudes,please don’t send them here either ty
"Hello. I don't use raids a lot (prefer solo/friend play) but I've been in the servers for many years. Is there any way I can vouch for a beginner who has experience in bullet hells and no-lifed Realm in the first day, grinded hard and got 8/8 quickly (with my help)? His request was denied in Oryx Sanctuary because new account, he now wanted to try Lost Halls but said it was denied automatically. Thanks.","Hello! You and your friend would need to reach out to OSanc security to get his account unblacklisted first. Once that is done, we can look into verifying your friend :>"
i am maxed in both of those,hello! i will dm you in a second :>
I was suspended but I meet reqs and dont klnow what i did,hellos! it appears that you showed up to a steamworks raid not meeting reqs - you were not maxed in atk and dex.
"yo, i have problem with walllnator, first ever rl that is not worth of listening, 0 calls, shit talking all the time, like ""these knights are bad, do something"" etc. i had to take off my headphones, and when i ask for calls for hardest part of dungeon (its 3 calls in 15 sec) he made fun of me, and said he cant help me with dodging","Hello! We’ll be sure to forward this to the HRLs. Would you happen to have any recordings of this happening? That would be really helpful, but if not then no worries! Thank you for letting us know & I hope your next run goes better :>"
It seemed like Baconyalt instigated it and was for the most part being racist. After a while I think DrChippy may have been saying some words. I can't say for certain but it was constant back and forth between the two,"Hey thank you for all the extra information I am going to DM the RL for the run and ask him for more context and it will be handled accordingly as we really don’t tolerate any type of toxicity in our runs/raids. Thank you for sharing this information, if you wanna provide anymore info DM *Strasz. Thanks again."
Can we get a permaban on Baconeyalt (his main as well) and maybe DrChippy? Constant racism throughout 4 chain kog,"Hey what run was this apart of? and who was the RL during the run? And are you able to provide anymore information as to what happened, if you have more screenshots as well please send them."
change name to Quen,"Hi, use the command ;cn <new name> in bot-commands. This will work if your name history is public on realmeye. If you have any problems feel free to shoot any online Security a dm!"
all good just wanted to report incase future raiders have similar problems love u,thanks! we lov u 2
this bino guy not even calling cult calls he just talking about his anorexic gf whole time 8/8 died because 0 shotgun calls in 2 cults,"Thank you for letting us know, we'll be sure to send this to the HRLs & hope your next run goes better :>"
I dont know why i'm blacklisted??,Hello! It appears that you were originally blacklisted under suspicion of being an alt. I will unblacklist you in a moment and you should be able to verify then :>
for accursed role verification,"Hi, first, this does not meet Accursed verification requirements. I assume you are going for the 30 completes on one character, but this character has only 26. Second of all, the channel states that you should message a Moderator or HRL with proof for verification, not modmail."
"Pipsi shoudlnt run o3 tbh no calls on the couters, instead lots of panic calling of current phase wasn't a nice run got saved by 2 cele. 20/85 completed only. Or just please ask him to not yell, 13 yo screaming random stuff is not fun for anyone","Alright, that's unfortunate. Obviously we don't want this happening again in the future. I'll forward this on to the HRL's, thank you for the feedback."
"whats the rules on deafening in vcs with certain type of roles (e.g., accursed/vet/etc)","In the regular raiding section, nobody is allowed to deafen (the exception being during the realm clear of an o3). In the vet section, the leading VRL will let you know if you are allowed to deafen"
i have no idea why i am black listed. looking to just play realm with my friends,"Hi, a Security will reach out to you in a moment."
"So hey, i was bad player, now i got better, and got better stuff, pls let me plawy with u, i wanna get better items, im ready",Looks like you'll have to contact the security that originally denied your verification which was <@379867465343303690> :) He is asleep rn but will get to you as soon as he can !
can i get a refund on points used for the fame cult roarkey just put up now. I used points before channel was open but i gueess there are crashers,"Hi, thanks for reaching out. I'm sorry to hear that's the case. I'll pass this on to the upper staff to see if we can do anything for you. Just give us a moment."
"yo. just wanted to say that, in contrast to most casual runs I'm in, Excel annunciates his calls very clearly and covers everything relevant to the current portion of the dungeon. I've even learned a few things from his calls that I haven't in other runs, and I feel especially safe with his updates on what is happening / what comes next. I'd definitely love to see them progress from ARL to RL.","Hey there, glad to hear that you're enjoying the runs with Excel aswell as thankyou for your kind words, Ill be sure to pass this information onto our HRL's"
nacnudd gave really good calls for the vc o3 i was just in :> lots of calls and he called them early + calls for gemsbok too??? amazing it felt super safe,ty caro im a big fan
XBino,Thank you for taking the time to inform us and I'll be sure to pass this along to the HRLs! & I hope that your next run goes better :>
"One of the ARL does simply not care enough to actually lead a raid and the ARL looks like he has no idea what he's doing. He doesn't call properly, doesn't know paths to the right destination, he should be demoted asap.",Thank you for letting us know! Would you happen to know which ARL it is?
Was in an XBino run and he screamed as loud as possible when he ran into pots. Should tell us if he plans to break our eardrums so that we could turn him to 1%. Also failed void run 🙂,"Thank you for letting us know, I'll pass it along to the HRLs!"
can u help me verify plss my ign is Plzgivitem,"Hello Pizgivitem, I would love to verify you I am Hihiihfuif. I will be Dming you shortly with the steps."
im not verified  anymore and my account name is somehow verified here,Dm any online security member (blue role) for help
gfhbdjgfhjdfg,"ok, we'll take that into consideration"
"Brand new season, i have no gear...","I totally get the struggle :< We have lowered the requirements to join an exaltation dungeon raid for the start of the season to t11/t4/t12/t4 with maxed atk and dex for this week. These might still be really hard to get at this time, but our priority is to keep runs high quality and safe for everyone! I hope this is understandable and I hope to see you in runs soon :D"
Can I change my name to Megapussi which it is in game,All done!
I left the discord and I'm trying to rejoin,That won't be a problem. A Security will DM you soon with info on reverifying
Literally have never made a modmail in my life but jesus christ how is the staff even tolerable of being in association with him,"Hi, I’m sorry to hear of your bad experience in our runs with xbino, ill be sure to pass along your feedback to our HRL team."
Nope 3rd time I get to be in a pubhalls raid in a row with these mods idk what y'all be telling em but it has to end. Im flabbergasted,Thanks for letting us know
"Hello pubhalls staff can you please tell ur staff to stop modding s-tier lost halls keys with these mods. Its 4x time bad mods waste of gold waste of time. Mods are Wanderer boss, haunted halls 3. Skilled minions 4, Fumble boss 4.",Can you clarify what's going on? Is there a specific staff member encouraging specific mods they want?
how do i do that,"If you look on the member list on the right of your Discord, scroll down until you find someone with the blue Security role and DM them!"
"hey, i used to be verified on this but i had to make a new discord account",Please message any online security and they can help you switch your account!
can i get incontact with a mod,"Hey, what's up?"
im not sure why im black listed but its been like a few years since ive played this game and i wanna get back in to it,"Hi, you should receive a DM from a Security in a minute."
https://drive.google.com/file/d/1h_2B_LJQtxHensfok9njcBtgphnfNVFw/view?usp=sharing,I see your concerns and understand how this could be frustrating. 
why have i been blacklisted,"Hi, Kanoin will dm you on Discord in a second."
XBino is the best < 3 dont know why ppl get mad at him. hes funny and makes runs enjoyable.,"Hey there,  Thanks for the kind words and I'm glad to hear you enjoyed the runs with Bino, Ill be sure to pass this onto the HRL team. "
Hey I changed my ign from NigBobby to WarmBobby can i get it switched,"Hey there, head to <#347885015964712970> and type `;cn WarmBobby` and it should change the name for you if your realmeye name history is public."
Xbino is screaming barely making calls talking about drugs and just being generally awful,"Hi, I’m so sorry to hear of your poor raiding experience with Xbino, Ill be sure to pass this along to our HRL team."
yo how the fuck was this under reqs t14 sword t7 seal with mseal,Hey man sorry about that. Currently crucible characters bugs out in the social tab in game and makes it appear as though you are only 6/8 when in actuality you are 8/8. I'll remove the warn sorry about that.
"Hey, I've been verified a couple times before but left last time I quit realm. I've come back and am attempting to reverify, however I can not dm mreyeball to get my password. Is there any way I can manually verify?","Hi! Please make sure to message `/tell MrEyeball password` exactly like that, case-sensitive.  If it has been a while since you played, pming usernames on realm now require you to type the name exactly how it is if you're not in a dungeon together because... Deca.  Hope that works!"
"also bino gives me early loc regardless if i am rushing or not, so how thats a point. him not giving me early loc was because ""there are 52 people in this call""","If you'd like to appeal your suspension further, please take it up with Marshall and XBino, as they were the ones who suspended you.  Unfortunately because we weren't in the run, we have to take their word on what exactly happened."
"if you guys think i broke rules then ill take my suspension, also weird that a different rl suspended me when it was bino's run.","Hello, I just spoke to XBino and Marshall and both said that XBino told you not to rush, and specifically that there was no point to during a void and they didn't give you early loc."
xbino is using griefed keys over regular keys,"Hey there, thanks for letting us know about this I’ll forward this information to our HRL’s and it will be handled accordingly. "
how do i message @379867465343303690,"Hi, their name is ""CF"" in Lost Halls. You can search them up there."
"yes why am i blacklisted i am just trying to verify, it didnt work the first time and you just blacklisted me instead of sending me a new code to put on realmeye?","Hi, please reach out to <@379867465343303690> as they are the one handling your verification."
"Security Caro: Kicked a memeber of staff during void run, and failed mutiple runs on easy dungeons and had to R after kicking incorrect peope who did meet re.","Thank you for letting us know! Would you happen to have recordings or screenshots of her kicking raiders incorrectly? Otherwise, please let us know who was affected so we can get in contact with them. We're really sorry you had such a poor experience and we hope you have a better time in your next runs."
"what steps do I need to take to have my name changed in discord, recently changed my ign to CrimsonDawn, hoping to fix it in here","Hey it’s very easy to do yourself, go to the `#bot-commands` channel, and type `;cn newnamehere`. If this does not work feel free to DM Strasz for further assistance."
i need to switch to another discord account (vznce),hello! you can message any online security and they'll be happy to help you verify on that account :>
https://cdn.discordapp.com/attachments/798012125662281798/1156076124112166972/image.png?ex=6513a74a&is=651255ca&hm=348aabf469da02b93bf91aa5d302fd5e936846a42f138adb29bb63c86cc5dd5f& 1154901831458234368,"Thank you Quad, we’ll pass this on to the higher ups"
hi lol,hi lol
Error,"Hi, you have reached modmail.  What can we do for you?"
"wystrian was a very good rl calmly handled a situation in which a raider was saying offensive things in chat and also managed to give good call outs, I made it through shatters on my first attempt thanks to their help","Hi, thank you for your kind words for Wystrian! Ill be sure to pass it along to our hrl team!"
thank you sir/ma'am,No worries! Have a lovely day!
where is the vet verify,"Hi, heres a link to the module where you can vet verify! https://discord.com/channels/343704644712923138/556930342083362823/738965169606230146"
"Good morning, I have a question regarding name changes. I recently changed my IGN, and was wondering if there is a way to re-verify and update the discord name as well. It seems to be causing some confusion in raids with people thinking I'm a crasher due to the ign name not showing up in the discord call. Thank you for your time.",Of course! You can change your name manually if you go to the bot-commands channel and type ``;cn [newname]``. Optionally you can also DM any online security to help you
"Ayo idk if this is the proper way to mod mail but like that man bino is the best RL. Bro is on crack but it keeps me on my feet, i now have the ability to do any dungeons cause i hear his screams when anything happens. Thank you","Hi! Thank you for your kind words regarding xbino, ill be sure to pass them along to our hrl team!"
"Pots has had me server deafened under the pretense that he does not like me, I wish to be undefeaned so I can put up an AFK for kogbold.",I think you're server deafened for more than that lol
;XBino leaked location but you allready know that i think,Yea everyone makes mistakes and I am sorry if you didn't make it into the run.
This is for hihii,Hi
Thank you.,"Thanks for reaching out! At the time of checking you were not in the voice channel. If this was a mistake then I apologize, you are more than welcome to DM me for further discussion on this matter if you would like."
"Got a longer than usual loadscreen, RL Ax told key wait for 18, and then told him to pop at 15 and i missed cuz of load. seems to have left 3 others behind aswell","Hi, sorry you missed out on the raid. I'll notify the HRL team about this. If you have any additional information you could add about this, please simply send another message to the bot."
I Lost My previous discord account,You can message any online Security and they'll be happy to help you get verified on this account instead
"My suspension time is over, unsuspende me now","Hi there, thanks for reaching out! Sorry for the inconvenience, your suspension has indeed concluded, so you have been manually unsuspended. Have a good time raiding and try not to infringe the rules."
it wasnt left,"Hello this is modmail for Lost Halls, can you please explain what you mean by ""it wasnt left"""
"i mean overall, all im asking is just to make essential calls when the time is needed. no one really cares if rls are fucking around when its just clear but when the time is needed for some calls just make them. thank you for this","I completely understand where you’re coming from, it can be a bit obnoxious to listen to, no worries we will pass this along to those that it matters too and if you have anything else to share please feel free to, thank you for your feedback!"
can xbino actually do calls instead of just fucking around a lot. it's one thing to joke around with raiders but it's another thing to almost get them killed or make them nexus and waste their time. hes not doing any leading wrong just make him tone down the fucking around when some calls need to be made,Thanks for letting us know. I will personally notify the HRL team and they will deal with it accordingly. Is there anything you would like to share with us? Hopefully this doesn't happen anymore.
just reporting the user Shoppet for racism,Thank you for letting us know
yeah ik send it again lmfao,Send what again? In order to appeal you must reach out to conman0003 (*CF)
send verification again,"Hi, you were rejected by conman0003 (*CF) please dm him for more information/questions."
Utahimeee didn't make the right call and got me and others killed during survival,Can you give any additional information? If not that's okay!
"and after i rushed crystal and told him where to go, he lead the group the other way, resulting in half a run not getting tp and blaming me, the rusher. also a lot of weird comments from raiders towards him, feels like he is baiting","Hi, i’m sorry to hear of your poor raiding experience in our runs, i’ll be sure to pass this information along to our HRL team."
Hey there I changed my Discord account - my RotMG account is WhatTheFrick - if I can get reverified on this discord that'd be great,"Hi, please feel free to dm any online Security for assistance in your discord transferal!"
"im not a big max eff fan, i hate the culture around it, but when your rls start shit to raiders who for the most part have stayed silent while you just want to do a fucking run ESPECIALLY when both guys are RLs and you cant exactly ignore them, that's fucking stupid. These guys are trying so hard to act victim when air pushes them, they are no different than any of the max effs guys","Thank you for letting us know, I'll make sure this gets passed on"
"Kuvu based RL, best O3 callouts I've seen with my (very) limited experience. Bro made the callouts good enough to know when to push in and hang back, super fast and super clean run",Thank you for the positive feedback!  We're glad you're enjoying his runs :) We'll send this along to an HRL too!
"I literally just got unsuspended this is fking bullshit, it's like a 40 dps difference","Be that as it may, the line needs to be drawn somewhere. If you make an exception for T11 because it's so close to T12, then you have T10 which is so close to T11, T9 is close to T10, and so on and so forth. The reqs have been set for T12 with no exceptions"
"I was 7/8, with a t11,t5,t12,and ut ring","Hey there, minimum requirements for our runs state you need **at least** a T12 weapon"
ratchet im sorry i wont be able to join ur runs when u get back ):,Kk ty for letting me know :>
yeah my chat doesnt go that far back anymore so not got any more scs unfortunately :/ thanks for the help,Thank you!<a:jammer:1093575435964653618>
"it was mostly nevermind yeah, think sophie and a couple others joined in trying to do those spell the N word chains where each person puts in a letter but only nevermind was going on and on about it and repeatedly saying it. and yeah reficul's most recent run","Hmm, okay, tyvm. Do you by any chance have or are able to get more screenshots of chat? If not allg, again thank you for reporting it."
"Hi, jsut wanted to report Reficul on how bad he is leading. Were not thinking that i will ever be that angry of some1 leads that i will have to report them. Sadly i dont have proff but i guess i will start recoding from now. He is leading his Void like it would be some kind of vet run, doesnt give calls to stun things,  decoy things, also in void he is  dragging minions without saying the word.  It was not silence run or anything like this seems like bro didnt give f about raiders only about himself.","Thank you for informing us about that. We try to keep our standards high for leading, especially for voids. I will personally notify the HRL team and they will deal with that incident. Thanks again and hope you have only top tier runs from now on. Take care."
Sooo is someone going to unsuspend me,"Hi, I think the bot may have bugged. I'll manually unsuspend you."
jokes are jokes but idk why you're making a joke about molesting someone then talking about working with kids.,"Thank you for bringing this to our attention we will pass this along to the HRL’s so they are aware, if you have a clip feel free to send it to us. Otherwise thank you for your feedback."
hi im blacklisted for some reason and I havent been on this disc in over a year and a half,"Go ahead and DM me *Strasz and I’ll help you out, thanks"
there is not rule that says that i have to kick anyone if his role is security then he should suspend the crushers not me im not going to stop from playing to kick a bunch of crashers and risk dying,"Ignoring staff is a suspendable rule, refusing to kick after request falls under that umbrella."
hi i changed my name wondering where to go to change in h ere,"Hi there, in short this depends on if it was an ingame name change or if you created a new account. Contact any online security and we’ll sort this out for you 🙂"
XBino is just annoying thats all I had to say,"Thank you for the feedback Amanoo. We aren’t sure how much can be done about his general demeanor, but we’ll make sure to let the HRLs know either way!"
"hi i wanted to talk about the rl instagram, i had joined an o3 vc and because today is free runes and everything and some servers are doing open vcs, so i asked him if had called location yet and he got super rude and said maybe if you were in vc you would know but i had just joined it?","Hi, thanks for the feedback. I'll forward this to the HRL team."
hello i did a chain nest about 3 or smth and also afew fungals but i only +1 of each in ;stats,"I’m sorry we’ll look into that for you, thank you for letting us know."
i cant verify my account,"Hey there, please contact *Celoso <@213849524890894336> for assistance as they're the one who's handling your verification."
